abbreviation,abbreviation,xsd:string,1,,http://dbpedia.org/ontology/abbreviation,10464,what is the abbreviation of <X>,what is the abbreviation of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/abbreviation> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/abbreviation> [] . ?a a <http://dbpedia.org/ontology/Place> }
abstract,has abstract,rdf:langString,0,omit has - 1,http://dbpedia.org/ontology/abstract,12390578,what is the abstract of <X>,what is the abstract of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/abstract> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/abstract> [] . ?a a <http://dbpedia.org/ontology/Place> }
access,access,xsd:string,1,,http://dbpedia.org/ontology/access,387,what is the access of <X>,what is the access of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/access> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/access> [] . ?a a <http://dbpedia.org/ontology/Place> }
accessDate,access date,xsd:date,1,,,,what is the access date of <X>,what is the access date of <X>,,
activeYearsEndDate,active years end date,xsd:date,0.5,,http://dbpedia.org/ontology/activeYearsEndDate,84148,when is the end of active years of <X>,When did <X> end being active,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/activeYearsEndDate> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/activeYearsEndDate> [] . ?a a <http://dbpedia.org/ontology/Place> }
activeYearsEndYear,active years end year,xsd:gYear,0.5,"insert an extra ""of"" and requires jumbling",http://dbpedia.org/ontology/activeYearsEndYear,151754,what is the end year of active years of <X>,What year did <X> end being active,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/activeYearsEndYear> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/activeYearsEndYear> [] . ?a a <http://dbpedia.org/ontology/Place> }
activeYearsStartDate,active years start date,xsd:date,0.5,"insert an extra ""of"" and requires jumbling",http://dbpedia.org/ontology/activeYearsStartDate,103132,when is the start of active years of <X>,When did <X> start being active,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/activeYearsStartDate> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/activeYearsStartDate> [] . ?a a <http://dbpedia.org/ontology/Place> }
activeYearsStartYear,active years start year,xsd:gYear,0.5,"insert an extra ""of"" and requires jumbling",http://dbpedia.org/ontology/activeYearsStartYear,254812,when is the start year of active years of <X>,What year did <X> start being active,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/activeYearsStartYear> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/activeYearsStartYear> [] . ?a a <http://dbpedia.org/ontology/Place> }
address,address,rdf:langString,1,"insert an extra ""of"" and requires jumbling",http://dbpedia.org/ontology/address,56143,what is the address of <X>,what is the address of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/address> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/address> [] . ?a a <http://dbpedia.org/ontology/Place> }
administrativeStatus,administrative status,xsd:string,1,,,,what is the administrative status of <X>,what is the administrative status of <X>,,
affiliation,affiliation,Organisation,1,,http://dbpedia.org/ontology/affiliation,24846,what is the affiliation of <X>,which organization is affiliated with <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/affiliation> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/affiliation> [] . ?a a <http://dbpedia.org/ontology/Place> }
ageRange,age range,xsd:nonNegativeInteger,1,,http://dbpedia.org/ontology/ageRange,830,what is the age range of <X>,what is the range of age of <X>,SELECT ?x WHERE { <X> <http://dbpedia.org/ontology/ageRange> ?x },SELECT ?a WHERE { ?a <http://dbpedia.org/ontology/ageRange> [] . ?a a <http://dbpedia.org/ontology/Place> }
agglomerationPopulationTotal,agglomeration population total,xsd:nonNegativeInteger,1,,,,what is the agglomeration population total of <X>,what is the population total of <X>,,
aitaCode,aita code,xsd:string,1,,,,what is the aita code of <X>,what is the aita code of <X>,,
