dbo:TelevisionShow;dbo:TelevisionShow;;does <A> have more episodes than <B>?;ask where { <A> dbo:numberOfEpisodes ?a . <B> dbo:numberOfEpisodes ?b . filter (?a > ?b) };select distinct ?a, ?b where {  ?a dbo:numberOfEpisodes ?x . ?b dbo:numberOfEpisodes ?y };
dbo:TelevisionShow;;;does the new <A> series have more episodes than the old one?;ask where { <A> rdfs:label ?l . ?a rdf:type dbo:TelevisionShow . ?a foaf:name ?l . ?a dbo:completionDate ?ad . ?a dbo:numberOfEpisodes ?an . ?b rdf:type dbo:TelevisionShow . ?b foaf:name ?l . ?b dbo:completionDate ?bd . ?b dbo:numberOfEpisodes ?bn . filter(?ad > ?bd && ?an > ?bn) };select distinct ?a where {  ?a rdfs:label ?l . ?x rdf:type dbo:TelevisionShow . ?x foaf:name ?l . ?x dbo:completionDate ?ad . ?x dbo:numberOfEpisodes ?an . ?y rdf:type dbo:TelevisionShow . ?y foaf:name ?l . ?y dbo:completionDate ?bd . ?y dbo:numberOfEpisodes ?bn . };
dbo:MusicalArtist;dbo:MusicalWork;;for which label did <A> record his first <B>?;select ?a where { ?b rdf:type <B> . ?b dbo:artist <A> . ?b dbo:releaseDate ?c . ?b dbo:recordLabel ?a } order by ?c offset 0 limit 1;select distinct ?a, ?b where {  ?y rdf:type ?b . ?y dbo:artist ?a . ?y dbo:releaseDate ?c . ?y dbo:recordLabel ?x  };
dbo:MusicalArtist;dbo:MusicalWork;;for which label did <A> record his second <B>?;select ?a where { ?b rdf:type <B> . ?b dbo:artist <A> . ?b dbo:releaseDate ?c . ?b dbo:recordLabel ?a } order by ?c offset 1 limit 1;select distinct ?a, ?b where {  ?y rdf:type ?b . ?y dbo:artist ?a . ?y dbo:releaseDate ?c . ?y dbo:recordLabel ?x  };
dbo:Country;dbo:MusicGenre;;give me all <A> <B> record labels.;select distinct ?uri where { ?uri rdf:type dbo:RecordLabel . ?uri dbo:genre <B>. ?uri dbo:country <A>. };select distinct ?a, ?b where {  ?uri rdf:type dbo:RecordLabel . ?uri dbo:genre ?b. ?uri dbo:country ?a.  };
;;;give me all actors;select ?a where { [] dbo:starring ?a };select distinct  where {  [] dbo:starring ?x  };
dbo:Film;;;give me all actors starring in <A>;select ?a where { <A> dbo:starring ?a };select distinct ?a where {  ?a dbo:starring ?x  };
<http://dbpedia.org/class/yago/FilmDirector110088200>;;;give me all actors starring in movies directed by <A>;select distinct ?uri where { ?uri dbo:starring ?x . ?uri dbo:director <A> };select distinct ?a where { ?uri dbo:starring ?x . ?uri dbo:director ?a };
dbo:Writer;;;give me all books by <A> with more than 300 pages.;select distinct ?uri where { ?uri rdf:type dbo:Book . ?uri dbo:author <A> . ?uri dbo:numberOfPages ?x . filter (?x > 300) };select distinct ?a where {  ?uri rdf:type dbo:Book . ?uri dbo:author ?a . };
dbo:Band;;;give me all members of <A>;select distinct ?uri where { <A> dbo:bandMember ?uri . };select distinct ?a where {  ?a dbo:bandMember ?uri .  };
<http://dbpedia.org/class/yago/FilmDirector110088200>;;;give me all movies directed by <A>;select distinct ?uri where { ?uri rdf:type dbo:Film . ?uri dbo:director <A> };select distinct ?a where {  ?uri rdf:type dbo:Film . ?uri dbo:director ?a  };
dbo:TelevisionShow;;;give me the new <A> series;describe ?a where { <A> rdfs:label ?l . ?a a dbo:TelevisionShow . ?a foaf:name ?l . ?a dbo:completionDate ?ad } order by desc(?ad) limit 1;select distinct ?a where {  ?a rdfs:label ?l . ?x a dbo:TelevisionShow . ?x foaf:name ?l . ?x dbo:completionDate ?ad  };
dbo:Book;;;how many pages does <A> have?;select distinct ?n where { <A> dbo:numberOfPages ?n . };select distinct ?a where {  ?a dbo:numberOfPages ?n .  };
dbo:Film;;;how much did <A> cost?;select distinct ?n where { <A> dbo:budget ?n . };select distinct ?a where {  ?a dbo:budget ?n .  };
