dbo:Philosopher;;dbo:Philosopher;was <A> born before <B>;ask where { <A> dbo:birthYear ?a . <B> dbo:birthYear ?b . FILTER(?a < ?b) };select distinct(?x) ?y where { ?x dbo:birthYear [] . ?y dbo:birthYear [] . FILTER(?x != ?y) }
dbo:Person;;dbo:Resource;<A> interested <B>;ask where { <A> dbo:mainInterest <B> };select distinct(?x) ?y where { ?x interested ?y }
dbo:Person;;dbo:Person;do <A> and <B> share interests;ask where { <A> dbo:mainInterest ?a . <B> dbo:mainInterest ?b . FILTER(?a = ?b) };select distinct(?x) ?y where { ?x dbr:maininterests [] . ?y dbr:maininterests []) }
dbo:Person;;dbo:Person;did <A> and <B> share interests;ask where { <A> dbo:mainInterest ?a . <B> dbo:mainInterest ?b . FILTER(?a = ?b) };select distinct(?x) ?y where { ?x dbr:maininterests [] . ?y dbr:maininterests []) }
dbo:Airline;;;where is <A> headquarter;select ?a where { <A> dbo:headquarter ?a };select distinct(?x) where { ?x dbo:headquarter [] }
dbo:Airline;;dbo:Airline;do <A> and <B> have same parent company;ask where { <A> dbo:headquarter ?a . <B> dbo:headquarter ?b . FILTER(?a = ?b) };select distinct(?x) ?y where { ?x dbo:headquarter [] . ?y dbo:headquarter []) }
dbo:Garden;;dbo:Garden;are <A> and <B> in same country;ask where { <A> dbo:country ?a . <B> dbo:country ?b . FILTER(?a = ?b) };select distinct(?x) ?y where { ?x dbo:country [] . ?y dbo:country []) }
dbo:Software;;;what language does <A> use;select ?a where { <A> dbo:programmingLanguage ?a};select distinct(?x) where { ?x dbo:programmingLanguage [] }
dbo:Game;;dbo:Game;what platforms do <A> and <B> share;select ?a where { <A> dbo:computingPlatform ?a. <B> dbo:computingPlatform ?b. FILTER(?a=?b)};select distinct(?x) ?y where { ?x dbo:computingPlatform [] . ?y dbo:computingPlatform []) }
dbo:Sport;;dbo:Sport;does <A> have bigger team size than <B>;ask where { <A> dbo:teamSize ?a . <B> dbo:teamSize ?b . FILTER(?a < ?b) };select distinct(?x) ?y where { ?x dbo:teamSize [] . ?y dbo:teamSize [] . FILTER(?x != ?y) }
dbo:Person;;;what is original name of <A>;select ?a where { <A> dbo:originalName ?a };select distinct(?x) where { ?x dbo:originalName [] }
dbo:Country;;dbo:Country;what titles do <A> and <B> share;select ?a where { <A> dbo:leaderTitle ?a. <B> dbo:leaderTitle ?b. FILTER (?a = ?b)};select distinct(?x) ?y where { ?x dbo:leaderTitle [] . ?y dbo:leaderTitle []  }
dbo:Country;;dbo:Country;do <A> and <B> share government type;ask where { <A> dbo:governmentType ?a . <B> dbo:governmentType ?b . FILTER(?a = ?b) };select distinct(?x) ?y where { ?x dbo:governmentType [] . ?y dbo:governmentType []  }
dbo:Country;;dbo:Country;does <A> have higher population than <B>;ask where { <A> dbo:populationTotalRanking ?a . <B> dbo:populationTotalRanking ?b . FILTER(?a = ?b) };select distinct(?x) ?y where { ?x dbo:populationTotalRanking [] . ?y dbo:populationTotalRanking []  }
dbo:Country;;;what is house called in <A>;select ?a where { <A> dbo:house ?a };select distinct(?x) where { ?x dbo:house [] }
dbo:Country;;dbo:Country;do <A> and <B> share language;ask where { <A> dbp:language ?a . <B> dbp:language ?b . FILTER(?a = ?b) };select distinct(?x) ?y where { ?x dbp:language [] . ?y dbp:language []  }
dbo:Software;;;which programming language influenced <A>;select ?a where { <A> dbo:influenced ?a };select distinct(?x) where { ?x dbo:influenced [] }
