abbreviation,abbreviation,xsd:string,what is the abbreviation of <X>,what is the abbreviation of <X>,1,,http://dbpedia.org/ontology/abbreviation,3
abstract,has abstract (omti has),rdf:langString,what is the abstract of <X>,what is the abstract of <X>,0,"omit has, 1",http://dbpedia.org/ontology/abstract,1
access,access,xsd:string,what is the access of <X>,what is the access of <X>,1,,http://dbpedia.org/ontology/access,308
accessDate,access date,xsd:date,what is the access date of <X>,what is the access date of <X>,1,,http://dbpedia.org/ontology/accessDate,1135
activeYearsEndDate,active years end date,xsd:date,when is the end of active years of <X>,When did <X> end being active,0.5,,http://dbpedia.org/ontology/activeYearsEndDate,84148
activeYearsEndYear,active years end year,xsd:gYear,what is the end year of active years of <X>,What year did <X> end being active,0.5,"insert an extra ""of"" and requires jumbling",http://dbpedia.org/ontology/activeYearsEndYear,151754
activeYearsStartDate,active years start date,xsd:date,when is the start of active years of <X>,When did <X> start being active,0.5,"insert an extra ""of"" and requires jumbling",http://dbpedia.org/ontology/activeYearsStartDate,103132
activeYearsStartYear,active years start year,xsd:gYear,when is the start year of active years of <X>,What year did <X> start being active,0.5,"insert an extra ""of"" and requires jumbling",http://dbpedia.org/ontology/activeYearsStartYear,254812
address,address,rdf:langString,what is the address of <X>,what is the address of <X>,1,"insert an extra ""of"" and requires jumbling",http://dbpedia.org/ontology/address,117639
administrativeStatus,administrative status,xsd:string,what is the administrative status of <X>,what is the administrative status of <X>,1,,,
affiliation,affiliation,Organisation,what is the affiliation of <X>,which organization is affiliated with <X>,1,,http://dbpedia.org/ontology/affiliation,6650
ageRange,age range,xsd:nonNegativeInteger,what is the age range of <X>,what is the range of age of <X>,1,,http://dbpedia.org/ontology/ageRange,76
agglomerationPopulationTotal,agglomeration population total,xsd:nonNegativeInteger,what is the agglomeration population total of <X>,what is the population total of <X>,1,,,
aitaCode,aita code,xsd:string,what is the aita code of <X>,what is the aita code of <X>,1,,,
album,album,Album,what is the album of <X>,what is the album of <X>,1,,http://dbpedia.org/ontology/album,5381
alias,alias,rdf:langString,what is the alias of <X>,what is the alias of <X>,1,,http://dbpedia.org/ontology/alias,4516
alongside,alongside,Person,who is the alongside of <X>,who is alongside <X>,0.1,"omit ""the"" and ""of"", 1",http://dbpedia.org/ontology/alongside,7932
alternativeName,alternative name,rdf:langString,what is the alternative name of <X>,what is the alternative name of <X>,1,,http://dbpedia.org/ontology/alternativeName,53
altitude,altitude,Altitude,what is the altitude of <X>,what is the altitude of <X>,1,,http://dbpedia.org/ontology/altitude,4
animal,animal,Animal,what is the animal of <X>,what is the animal of <X>,1,,http://dbpedia.org/ontology/animal,258
annualTemperature,annual temperature,Temperature,what is the annual temperature of <X>,what is the annual temperature of <X>,1,,,
anthem,anthem,Work,what is the anthem of <X>,what is the anthem of <X>,1,,http://dbpedia.org/ontology/anthem,792
apcPresident,apc president,Person,who is the apc president of <X>,who is the apc president of <X>,0.2,"who instead of what, 1",,
appearance,appearance,xsd:string,what is the appearance of <X>,how does <X> appear,0.8,"correct but, ""how does x appear"" is a better query",http://dbpedia.org/ontology/appearance,196
appointer,appointer,Person,who is the appointer of <X>,who appointed <X>,0.2,"who instead of what, 1",http://dbpedia.org/ontology/appointer,4722
area,area,Area,what is the area of <X>,what is the area of <X>,1,,http://dbpedia.org/ontology/area,33575
areaCode,area code,xsd:string,what is the area code of <X>,what is the area code of <X>,1,,http://dbpedia.org/ontology/areaCode,2053
areaDate,area date,xsd:date,what is the area date of <X>,what is the area date of <X>,1,,,
areaLand,area land,Area,what is the land area of <X>,what is the land area of <X>,0.5,jumble the label's words,http://dbpedia.org/ontology/areaLand,109
areaMetro,area metro,Area,what is the metro are of <X>,what is the metro are of <X>,0.5,jumble the label's words,http://dbpedia.org/ontology/areaMetro,9
areaOfCatchmentQuote,area of catchment quote,xsd:string,what is the area of catchment quote of <X>,what is the area of catchment quote of <X>,1,,http://dbpedia.org/ontology/areaOfCatchmentQuote,1
areaQuote,**area quote,xsd:string,what is the area quote of <X>,what is the area quote of <X>,1,,http://dbpedia.org/ontology/areaQuote,1
areaRank,area rank,xsd:string,what is the area rank of <X>,what is the area rank of <X>,1,,http://dbpedia.org/ontology/areaRank,3395
areaTotal,area total,Area,what is the area total of <X>,what is the total area of <X>,0.5,,http://dbpedia.org/ontology/areaTotal,2164
areaWater,area water,Area,what is the area water of <X>,what is the area occupied by water in <X>,0.4,,http://dbpedia.org/ontology/areaWater,168
artificialSnowArea,artificial snow area,xsd:float,what is the artificial snow area of <X>,what is the area of artificial snow of <X>,0.8,"jumbling and an extra ""of""",,
asWikiText,as Wiki text,xsd:string,what is the WikiText representation of <X>,what is the WikiText representation of <X>,0.1,crop subwords,,
ascent,ascent,xsd:string,what is the ascent of <X>,what is the ascent of <X>,1,,,
associate,associate,Person,who is the associate of <X>,who is the associate of <X>,0,who,http://dbpedia.org/ontology/associate,32
associateStar,associateStar,Constellation,what is the star associated to <X>,which star is associated with <X>,0.6,,,
associatedBand,associated band,Band,what is the associated band of <X>,which band is associated with <X>,1,but other queries possible: which band is associated to x,http://dbpedia.org/ontology/associatedBand,131347
associatedMusicalArtist,associated musical artist,MusicalArtist,what is the associated musical artist of <X>,who is the musical artist associated with <X>,,same^,http://dbpedia.org/ontology/associatedMusicalArtist,131338
atcCode,ATC code,xsd:string,what is the ATC code of <X>,what is the ATC code of <X>,1,,,
atcPrefix,ATC prefix,xsd:string,what is the ATC prefix of <X>,what is the ATC prefix of <X>,1,,http://dbpedia.org/ontology/atcPrefix,223
atcSuffix,ATC suffix,xsd:string,what is the ATC suffix of <X>,what is the ATC suffix of <X>,1,,http://dbpedia.org/ontology/atcSuffix,105
authority,authority,owl:Thing,what is the authority of <X>,what is the authority of <X>,1,,http://dbpedia.org/ontology/authority,22397
authorityMandate,authority mandate,xsd:string,what is the authority mandate of <X>,what is the authority mandate of <X>,1,,,
autonomy,autonomy,owl:Thing,what is the autonomy of <X>,what is the autonomy of <X>,1,,,
average,average,xsd:double,what is the average of <X>,what is the average of <X>,1,,http://dbpedia.org/ontology/average,5
averageDepth,average depth,Length,what is the average depth of <X>,what is the average depth of <X>,1,,http://dbpedia.org/ontology/averageDepth,4
