abbreviation,xsd:string,what is the abbreviation of x,,1,
has abstract (omti has),,what is the abstract of x,,0,"omit has, 1"
access,,what is the access of x,,1,
access date,,what is the access date of x,,1,
active years end date,,when is the end of active years of x,When did <X> end being active,1,
active years end year,,what is the end year of active years of x,What year did <X> end being active,0.5,"insert an extra ""of"" and requires jumbling"
active years start date,,when is the start of active years of x,When did <X> start being active,0.5,"insert an extra ""of"" and requires jumbling"
active years start year,,when is the start year of active years of x,What year did <X> start being active,0.5,"insert an extra ""of"" and requires jumbling"
address,,,,0.5,"insert an extra ""of"" and requires jumbling"
administrative status,,,,1,
affiliation,,,,1,
age range,,,,1,
agglomeration population total,,,,1,
aita code,,,,1,
album,,,,1,
alias,,,,1,
alongside,,what is alongside x,,0.1,"omit ""the"" and ""of"", 1"
alternative name,,,,1,
altitude,,,,1,
animal,,,,1,
annual temperature,,,,1,
anthem,,,,1,
apc president,,who is the apc president of x,,0.2,"who instead of what, 1"
appearance,,hoes does x appear,,0.8,"correct but, ""how does x appear"" is a better query"
appointer,,who is the appointer of x,,0.2,"who instead of what, 1"
area,,,,1,
area code,,,,1,
area date,,,,1,
area land,,what is the land area of,,0.5,jumble the label's words
area metro,,what is the metro are of ,,0.5,jumble the label's words
area of catchment quote,,,,1,
**area quote,,,,1,
area rank,,,,1,
area total,,,,,
area water,,,,,
artificial snow area,,,,,
Contains a WikiText representation of this thing,,,,,
ascent,,,,,
associate,,,,,who
associateStar,,what is the star associated to x,,0,
associated band,,,,1,but other queries possible: which band is associated to x
associated musical artist,,,,,same^
ATC code,,,,1,
ATC prefix,,,,1,
ATC suffix,,,,1,
authority,,,,1,
authority mandate,,,,1,
autonomy,,,,1,
average,,,,1,
average depth,,,,1,
**average depth quote,,,,,
average speed,,,,1,
avifauna population,,,,0.8,better: what is the population of avifauna of x
award,,,,1,
colour hex code of away jersey or its parts,,,,1,
background,,,,1,
battery,,,,1,
battle,,,,1,
BIBSYS Id,,,,1,
biggest city,,which is the biggest city of ,,0.5,which instead of what
bioclimate,,,,1,
biome,,,,1,
bird,,,,1,
*long distance piste number,,,,1,"but, subset of words also correct. eg: what is the long distance number of .."
black ski piste number,,,,1,
*blazon,,,,1,
*blazon link,,,,0.5,better: what is the link for blazon for x
*blazon ratio,,,,0.5,better: what is the blazon ratio for
blue long distance piste number,,,,,
blue ski piste number,,,,,
BNF Id,,,,1,
name,,,,1,
border,,,,1,
BPN Id,,,,1,
budget,,,,1,
budget year,,,,1,
builder,,,,0.2,who but not range not Person
building end date,,,,0.8,what or when is the building end date of x
building start date,,,,0.8,
cable car,,,,,
its calculation needs,,,,,
call sign,,,,,
cannon number,,,,,
capacity,,,,,
capital coordinates,,,,,
CAS number,,,,,
CAS supplemental,,,,,
category,,,,,
chain,,,,,
chair label,,,,,
chairman,,,,0.2,"who instead of what, 1"
chancellor,,,,0.2,"who instead of what, 1"
channel,,,,,
chief place,,,,,
city,,,,,
city link,,,,,
class,,,,,
classification,,,,,
climate,,,,,
clip up number,,,,,
is close to,,,,,
closing date,,,,,
closing year,,,,,
coach,,,,,
coached team,,,,,
length of a coast,,,,,
coat of arms image,,,,,
code,,,,,
monument code (municipal),,,,,
monument code (national),,,,,
monument code (provinciall),,,,,
country,,,,,
colour,,,,,
colour hex code,,,,,
colour name,,,,,
commandant,,,,,
commander,,,,,
comment,,,,,
committee,,,,,
common name,,,,,
company,,,,,
conflict,,,,,
connotation,,,,,
constituency district,,,,,
COSPAR id,,,,,
cost,,,,,
country,,,,,
country code,,,,,
county,,,,,
course area,,,,,
CPU,,,,,
year of creation,,,,,
creator (agent),,,,0.5,what or who depends (who majorly)
crest,,,,,
criteria,,,,,
cuisine,,,,,
currency,,,,,
currency code,,,,,
current city,,,,,
current status,,,,,
date,,,,,
date of an agreement,,,,,
date budget,,,,,
date of abandonment,,,,,
daylight saving time zone,,,,,
creator (literal),,,,,
identifier,,,,,
language (literal),,,,,
rights,,,,,
subject,,,,,
title,,,,,
type (literal),,,,,
Date or range when this object was created,,,,,
date submitted,,,,,
Description,,,,,
medium,,,,,
format (literal),,,,,
medium,,,,,
modified,,,,,
spatial,,,,,
subject,,,,,
temporal,,,,,
type,,,,,
de facto language,,,,,
delivery date,,,,,
demonym,,,,,
density,,,,,
depiction description (caption),,,,,
depth,,,,,
depth quote,,,,,
depths,,,,,
deputy,,,,,
description,,,,,
designer company,,,,,
designer,,,,0.5,what or who depends (who majorly)
destruction date,,,,,
developer,,,,,
diameter,,,,,
diocese,,,,,
discoverer,,,,,
disease,,,,,
distance,,,,,
distributor,,,,,
district,,,,,
division,,,,,
String designation of the WrittenWork describing the resource,,,,,
draft,,,,,
draft year,,,,,
DrugBank,,,,,
duration,,,,,
dynasty,,,,,
east place,,,,,
editor,,,,,
EINECS number,,,,,
election majority,,,,,
element above,,,,,
elevation,,,,,
elevation quote,,,,,
end occupation,,,,,
end point,,,,,
end year,,,,,
endangered since,,,,,
engineer,,,,,
era,,,,,
ethnic groups in year,,,,,
event,,,,,
event date,,,,,
executive producer,,,,,
exhibition,,,,,
existence,,,,,
extinction date,,,,,
failed launches,,,,,
fauna,,,,,
FDA UNII code,,,,,
"feast day, holiday",,,,,
fighter,,,,,
FilmPolski.pl id,,,,,
firstLeader,,,,,
first owner,,,,,
first place,,,,,
firstPopularVote,,,,,
flag (image),,,,,
flag border,,,,,
flag Link,,,,,
flooding date,,,,,
flora,,,,,
flower,,,,,
based near,,,,,
depiction from http://xmlns.com/foaf/spec/#term_depiction,,,,,
family name,,,,,
gender,,,,,
given name,,,,,
image,,,,,
A document that this thing is the primary topic of.,,,,,
logo,,,,,
Email address (mbox),,,,,
name,,,,,
nickname,,,,,
A page or document about this thing.,,,,,
Telephone (phone) number,,,,,
surname,,,,,
thumbnail,,,,,
A topic of some page or document.,,,,,
focus,,,,,
followed by,,,,,
follows,,,,,
forces,,,,,
foresterDistrict,,,,,
format (object),,,,,
former name,,,,,
founded by,,,,,
founder,,,,,
founding date,,,,,
founding year,,,,,
frequency,,,,,
length of a frontier,,,,,
fuel,,,,,
fuel type,,,,,
Modus the game can be played in,,,,,
gender,,,,,
genre,,,,,
geolocdual,,,,,
geologic period,,,,,
geology,,,,,
governing body,,,,,
government type,,,,,
governor,,,,,
governor general,,,,,
name in ancient Greek,,,,,
