end year,xsd:gYear,what is the end year of <X>,what is the end year of <X>,,
endangered since,xsd:date,what is the endangered since of <X>,what is the endangered since of <X>,,
engineer,Person,what is the engineer of <X>,what is the engineer of <X>,,
era,owl:Thing,what is the era of <X>,what is the era of <X>,,
ethnic groups in year,xsd:gYear,what is the ethnic groups in year of <X>,what is the ethnic groups in year of <X>,,
event,Event,what is the event of <X>,what is the event of <X>,,
event date,xsd:date,what is the event date of <X>,what is the event date of <X>,,
executive producer,Person,what is the executive producer of <X>,what is the executive producer of <X>,,
exhibition,xsd:string,what is the exhibition of <X>,what is the exhibition of <X>,,
existence,owl:Thing,what is the existence of <X>,what is the existence of <X>,,
extinction date,xsd:date,what is the extinction date of <X>,what is the extinction date of <X>,,
failed launches,xsd:nonNegativeInteger,what is the failed launches of <X>,what is the failed launches of <X>,,
fauna,xsd:string,what is the fauna of <X>,what is the fauna of <X>,,
FDA UNII code,xsd:string,what is the FDA UNII code of <X>,what is the FDA UNII code of <X>,,
"feast day, holiday",what is the feast day of <X>,what is the feast day of <X>,,,
fighter,xsd:string,what is the fighter of <X>,what is the fighter of <X>,,
FilmPolski.pl id,xsd:string,what is the FilmPolski.pl id of <X>,what is the FilmPolski.pl id of <X>,,
firstLeader,Person,what is the firstLeader of <X>,what is the firstLeader of <X>,,
first owner,Agent,what is the first owner of <X>,what is the first owner of <X>,,
first place,xsd:string,what is the first place of <X>,what is the first place of <X>,,
firstPopularVote,Person,what is the firstPopularVote of <X>,what is the firstPopularVote of <X>,,
flag (image),xsd:string,what is the flag (image) of <X>,what is the flag (image) of <X>,,
flag border,xsd:string,what is the flag border of <X>,what is the flag border of <X>,,
flag Link,xsd:string,what is the flag Link of <X>,what is the flag Link of <X>,,
flooding date,xsd:date,what is the flooding date of <X>,what is the flooding date of <X>,,
flora,xsd:string,what is the flora of <X>,what is the flora of <X>,,
flower,Species,what is the flower of <X>,what is the flower of <X>,,
based near,owl:Thing,what is the based near of <X>,what is the based near of <X>,,
depiction from http://xmlns.com/foaf/spec/#term_depiction,Image,what is the depiction from http://xmlns.com/foaf/spec/#term_depiction of <X>,what is the depiction from http://xmlns.com/foaf/spec/#term_depiction of <X>,,
family name,rdf:langString,what is the family name of <X>,what is the family name of <X>,,
gender,xsd:string,what is the gender of <X>,what is the gender of <X>,,
given name,rdf:langString,what is the given name of <X>,what is the given name of <X>,,
image,owl:Thing,what is the image of <X>,what is the image of <X>,,
A document that this thing is the primary topic of.,foaf:Document,what is the A document that this thing is the primary topic of. of <X>,what is the A document that this thing is the primary topic of. of <X>,,
logo,owl:Thing,what is the logo of <X>,what is the logo of <X>,,
Email address (mbox),xsd:string,what is the Email address (mbox) of <X>,what is the Email address (mbox) of <X>,,
name,rdf:langString,what is the name of <X>,what is the name of <X>,,
nickname,rdf:langString,what is the nickname of <X>,what is the nickname of <X>,,
A page or document about this thing.,foaf:Document,what is the A page or document about this thing. of <X>,what is the A page or document about this thing. of <X>,,
Telephone (phone) number,xsd:string,what is the Telephone (phone) number of <X>,what is the Telephone (phone) number of <X>,,
surname,rdf:langString,what is the surname of <X>,what is the surname of <X>,,
thumbnail,Image,what is the thumbnail of <X>,what is the thumbnail of <X>,,
A topic of some page or document.,owl:Thing,what is the A topic of some page or document. of <X>,what is the A topic of some page or document. of <X>,,
focus,owl:Thing,what is the focus of <X>,what is the focus of <X>,,
followed by,owl:Thing,what is the followed by of <X>,what is the followed by of <X>,,
follows,owl:Thing,what is the follows of <X>,what is the follows of <X>,,
forces,xsd:string,what is the forces of <X>,what is the forces of <X>,,
foresterDistrict,owl:Thing,what is the foresterDistrict of <X>,what is the foresterDistrict of <X>,,
format (object),owl:Thing,what is the format (object) of <X>,what is the format (object) of <X>,,
former name,rdf:langString,what is the former name of <X>,what is the former name of <X>,,
founded by,Agent,what is the founded by of <X>,what is the founded by of <X>,,
founder,Person,what is the founder of <X>,what is the founder of <X>,,
founding date,xsd:date,what is the founding date of <X>,what is the founding date of <X>,,
founding year,xsd:gYear,what is the founding year of <X>,what is the founding year of <X>,,
frequency,Frequency,what is the frequency of <X>,what is the frequency of <X>,,
length of a frontier,xsd:float,what is the length of a frontier of <X>,what is the length of a frontier of <X>,,
fuel,owl:Thing,what is the fuel of <X>,what is the fuel of <X>,,
fuel type,owl:Thing,what is the fuel type of <X>,what is the fuel type of <X>,,
Modus the game can be played in,xsd:string,what is the Modus the game can be played in of <X>,what is the Modus the game can be played in of <X>,,
gender,owl:Thing,what is the gender of <X>,what is the gender of <X>,,
genre,Genre,what is the genre of <X>,what is the genre of <X>,,
