achievement,achievement,Person,owl:Thing,,
activeYears,active years,Person,xsd:string,http://dbpedia.org/ontology/activeYears,328
activeYearsEndDateMgr,active years end date manager,Person,xsd:string,,
activeYearsEndYearMgr,active years end year manager,Person,xsd:gYear,,
activeYearsStartDateMgr,active years start date manager,Person,xsd:date,,
activeYearsStartYearMgr,active years start year manager,Person,xsd:gYear,,
activity,activity,Person,owl:Thing,,
affair,affair,Person,xsd:string,,
age,age,Agent,xsd:integer,,
agency,agency,Person,owl:Thing,http://dbpedia.org/ontology/agency,750
allegiance,allegiance,Person,xsd:string,http://dbpedia.org/ontology/allegiance,21032
almaMater,alma mater,Person,EducationalInstitution,http://dbpedia.org/ontology/almaMater,131512
announcedFrom,announcedFrom,Person,Place,,
approach,approach,Person,owl:Thing,,
arrestDate,arrest date,Person,xsd:date,,
artPatron,patron (art),Agent,Artist,,
artisticFunction,artistic function,Person,xsd:string,,
astrologicalSign,astrological sign,Person,owl:Thing,,
awardName,awardName,Person,xsd:string,,
badGuy,bad guy,Person,xsd:string,,
bestLap,best lap,Person,xsd:string,,
bigPoolRecord,big pool record,Person,xsd:string,,
birthDate,birth date,Person,xsd:date,http://dbpedia.org/ontology/birthDate,1740614
birthName,birth name,Person,rdf:langString,http://dbpedia.org/ontology/birthName,79134
birthPlace,birth place,Person,Place,http://dbpedia.org/ontology/birthPlace,1330297
birthSign,birth sign,Person,owl:Thing,,
birthYear,birth year,Person,xsd:gYear,http://dbpedia.org/ontology/birthYear,160048
bloodGroup,blood group,Person,xsd:string,,
bloodType,blood type,Person,owl:Thing,,
board,board,Person,owl:Thing,http://dbpedia.org/ontology/board,1936
bodyDiscovered,body discovered,Person,Place,http://dbpedia.org/ontology/bodyDiscovered,233
britishWins,british wins,Person,skos:Concept,,
bustSize,bust size,Person,Length,http://dbpedia.org/ontology/bustSize,316
bustWaistHipSize,bust-waist-hip Size,Person,xsd:string,,
careerStation,career station,Person,CareerStation,http://dbpedia.org/ontology/careerStation,977021
case,case,Person,xsd:string,,
catch,catch,Person,xsd:string,,
causeOfDeath,cause of death,Person,xsd:string,,
championships,championships,Agent,xsd:nonNegativeInteger,http://dbpedia.org/ontology/championships,777
child,child,Person,Person,http://dbpedia.org/ontology/child,15760
circumcised,circumcised,Person,xsd:string,,
citizenship,citizenship,Person,owl:Thing,http://dbpedia.org/ontology/citizenship,6435
clothSize,cloth size,Person,xsd:string,,
clothingSize,clothing size,Person,xsd:string,,
coalition,coalition,Person,xsd:string,,
collaboration,collaboration,Person,Person,,
colleague,colleague,Person,Person,,
college,college,Person,EducationalInstitution,http://dbpedia.org/ontology/college,13759
competitionTitle,competition title,Person,SportsEvent,,
complexion,complexion,Person,owl:Thing,,
contest,contest,Person,Contest,,
continentalTournament,continental tournament,Person,Tournament,,
continentalTournamentBronze,continental tournament bronze,Person,xsd:nonNegativeInteger,,
continentalTournamentGold,continental tournament gold,Person,xsd:nonNegativeInteger,,
continentalTournamentSilver,continental tournament silver,Person,xsd:nonNegativeInteger,,
convictionDate,conviction date,Person,xsd:date,,
copilote,copilote,Person,Person,,
cousurper,cousurper,Person,Person,,
created,created,Person,Work,,
currentTeamManager,current team manager,Person,SportsTeam,,
danseCompetition,danse competition,Person,xsd:string,,
danseScore,danse score,Person,xsd:string,,
dateOfBurial,date of burial,Person,xsd:date,http://dbpedia.org/ontology/dateOfBurial,11
deadInFightDate,dead in fight date,Person,xsd:string,,
deadInFightPlace,dead in fight place,Person,xsd:string,,
deathAge,death age,Person,xsd:nonNegativeInteger,,
deathCause,death cause,Person,owl:Thing,http://dbpedia.org/ontology/deathCause,5424
deathDate,death date,Person,xsd:date,http://dbpedia.org/ontology/deathDate,721196
deathPlace,death place,Person,Place,http://dbpedia.org/ontology/deathPlace,406619
deathYear,death year,Person,xsd:gYear,http://dbpedia.org/ontology/deathYear,74740
debutWork,debutWork,Person,Work,,
decoration,decoration,Person,owl:Thing,,
denomination,denomination,Agent,owl:Thing,http://dbpedia.org/ontology/denomination,926
derivedWord,derived word,Person,xsd:string,,
detractor,detractor,Person,Person,,
diploma,diploma,Person,Diploma,,
discipline,discipline,Agent,owl:Thing,http://dbpedia.org/ontology/discipline,1664
dubber,dubber,Person,Person,,
education,education,Person,owl:Thing,http://dbpedia.org/ontology/education,25656
educationPlace,education place,Person,Place,,
electionDate,election date,Person,xsd:date,http://dbpedia.org/ontology/electionDate,115
employer,employer,Person,Organisation,http://dbpedia.org/ontology/employer,7409
endCareer,end career,Person,xsd:string,,
endReign,end reign,Person,skos:Concept,,
escalafon,escalafon,Person,xsd:string,,
ethnicity,ethnicity,Person,EthnicGroup,http://dbpedia.org/ontology/ethnicity,8322
expedition,expedition,Person,xsd:string,,
externalOrnament,external ornament,Person,xsd:string,,
eyeColor,eye color,Person,xsd:string,http://dbpedia.org/ontology/eyeColor,3164
eyeColour,eye colour,Person,xsd:string,,
father,father,Person,Person,,
feat,feat,Person,xsd:string,,
federation,federation,Person,Organisation,,
filmNumber,film number,Person,xsd:nonNegativeInteger,,
foot,foot,Person,xsd:string,,
freeDanseScore,free danse score,Person,xsd:string,,
freeProgCompetition,free prog competition,Person,xsd:string,,
freeProgScore,free prog score,Person,xsd:string,,
freeScoreCompetition,free score competition,Person,xsd:string,,
friend,friend,Person,Person,,
fullCompetition,full competition,Person,xsd:string,,
fullScore,full score,Person,xsd:string,,
generalCouncil,general council,Agent,TermOfOffice,,
grave,grave,Person,xsd:string,,
gymApparatus,gym apparatus,Person,owl:Thing,,
hairColor,hair color,Person,xsd:string,http://dbpedia.org/ontology/hairColor,3302
hairColour,hair colour,Person,xsd:string,,
hand,hand,Person,owl:Thing,,
handedness,handedness,Person,owl:Thing,,
handisport,handisport,Person,xsd:string,,
hasNaturalBust,has natural bust,Person,xsd:string,,
hipSize,hip size,Person,Length,http://dbpedia.org/ontology/hipSize,384
